"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415673_at","Psph","100678","phosphoserine phosphatase",0.0782469929470988,6.73610339199263,0.422495507355815,0.678640558005023,0.86970918393711,-5.74109718980481
"2","1415685_at","Mtif2","76784","mitochondrial translational initiation factor 2",-0.630664299177422,8.31808923681768,-5.02690417529044,0.000149064779733658,0.12376851077647,1.00880376236138
"3","1415698_at","Golm1","105348","golgi membrane protein 1",0.518708234591841,6.64922925793604,1.46870637012732,0.162513275827286,0.543721174789338,-4.84992196674321
"4","1415743_at","Hdac5","15184","histone deacetylase 5",0.0931876846034765,7.3560006035339,0.548125601084757,0.591647729059229,0.825940211119635,-5.68261286298583
"5","1415750_at","Tbl3","213773","transducin (beta)-like 3",0.184480310976183,7.09153292040754,1.41049518955135,0.178737569369186,0.557682897488685,-4.92095922991088
"6","1415773_at","Ncl","17975","nucleolin",-0.0385204762008984,6.61215924358086,-0.153146819890523,0.880318003721676,0.951209886695899,-5.81620042795065
"7","1415776_at","Aldh3a2","11671","aldehyde dehydrogenase family 3, subfamily A2",0.266560963501743,8.13223458133501,0.831561187110694,0.418661991177178,0.731058094685532,-5.49840995083619
"8","1415794_a_at","Spin1","20729","spindlin 1",-0.0611955444099692,9.5026179958176,-0.368739247293107,0.7174603409671,0.887346688348667,-5.76161699648191
"9","1415822_at","Scd2","20250","stearoyl-Coenzyme A desaturase 2",0.215402291772302,5.28926834887896,0.865553874533465,0.400329307171005,0.722110322763003,-5.47165779708801
"10","1415834_at","Dusp6","67603","dual specificity phosphatase 6",-0.118158529166784,8.92541668372683,-0.5986853931304,0.558291242144785,0.807339915369295,-5.65498026524455
"11","1415849_s_at","Stmn1","16765","stathmin 1",-0.0962768357533381,7.28809991114493,-0.390532534415395,0.701617791760681,0.882644468663364,-5.75362671868383
"12","1415855_at","Kitl","17311","kit ligand",0.717426188992895,4.32776981591156,2.89457985719671,0.0110908177771724,0.275884368382355,-2.64724402066201
"13","1415859_at","Eif3c","56347","eukaryotic translation initiation factor 3, subunit C",-0.439488434198283,6.87619957694504,-1.04313689564824,0.313360340103412,0.663791750944531,-5.31659706159741
"14","1415865_s_at","Bpgm","12183","2,3-bisphosphoglycerate mutase",0.0264526952006481,6.95007507516245,0.142230810715644,0.888785236987267,0.953542240684251,-5.81777114543862
"15","1415890_at","Papss1","23971","3'-phosphoadenosine 5'-phosphosulfate synthase 1",0.105376702902577,8.19721475430134,0.637107794557673,0.533631837979272,0.795959485095361,-5.6324358869766
"16","1415899_at","Junb","16477","jun B proto-oncogene",-0.161147266601195,5.59878342252518,-0.413313991265291,0.685208494432488,0.872148717168525,-5.74479478865389
"17","1415908_at","Tspyl1","22110","testis-specific protein, Y-encoded-like 1",-0.227077887144103,7.74598146346895,-1.31797285432981,0.207232124230436,0.584188534686182,-5.02941437596715
"18","1415919_at","Npdc1","18146","neural proliferation, differentiation and control 1",-0.0456052617369842,5.08169928944981,-0.247851252278084,0.807600942312903,0.928026778825955,-5.7977279404315
"19","1415925_a_at","Nup62","18226","nucleoporin 62",0.050536479987815,6.97241326345219,0.304066808072739,0.765242741364561,0.909057431315876,-5.78267341708488
"20","1415935_at","Smoc2","64074","SPARC related modular calcium binding 2",0.68652101537988,5.77614443061214,2.19053973092412,0.0446471075443153,0.376370275581489,-3.821410257123
"21","1415938_at","Spink1","20730","serine peptidase inhibitor, Kazal type 1",-0.298899674928149,3.80085113978095,-0.663172993433063,0.517254396908797,0.786906555865691,-5.61639005453637
"22","1415941_s_at","Zfand2a","100494","zinc finger, AN1-type domain 2A",-0.245383361569986,5.92480583248972,-1.32996689369812,0.203344215910183,0.580547736423571,-5.01567201049202
"23","1415949_at","Cpe","12876","carboxypeptidase E",0.318615551366929,3.27099031884553,0.516279818151935,0.613164793951936,0.835883559696527,-5.69881960209195
"24","1415958_at","Slc2a4","20528","solute carrier family 2 (facilitated glucose transporter), member 4",0.306974922033354,5.58505978940004,1.60511173056468,0.12925407776066,0.504860086807251,-4.67548331376596
"25","1415965_at","Scd1","20249","stearoyl-Coenzyme A desaturase 1",1.06954511171732,9.47854725124024,2.10293463058632,0.0527128354670841,0.392086058950428,-3.95831412208587
"26","1415966_a_at","Ndufv1","17995","NADH:ubiquinone oxidoreductase core subunit V1",0.161689897134275,10.7260502771484,0.820653367543099,0.424658530613421,0.733799659994073,-5.50678915305914
"27","1415977_at","Isyna1","71780","myo-inositol 1-phosphate synthase A1",-0.205877366616917,5.58131467653762,-0.548437778196686,0.591438704053879,0.825940211119635,-5.68244939058652
"28","1415993_at","Sqle","20775","squalene epoxidase",-0.148515218812193,10.1342166657329,-0.679825830316077,0.506942837219974,0.781418840390878,-5.60582261510099
"29","1415996_at","Txnip","56338","thioredoxin interacting protein",0.201899620193875,7.9319947298717,1.00876088819756,0.329041547033394,0.677757814101362,-5.34857090153412
"30","1415999_at","Hey1","15213","hairy/enhancer-of-split related with YRPW motif 1",-0.0478669800624871,5.10299418384363,-0.298802437542072,0.769179098412147,0.910891838336182,-5.78421182428563
"31","1416017_at","Copg1","54161","coatomer protein complex, subunit gamma 1",0.00356166170945205,7.54334420551482,0.0237484318164107,0.981365450550674,0.993972381560132,-5.82735902035359
"32","1416019_at","Dr1","13486","down-regulator of transcription 1",-0.332973401423672,3.73595260155437,-1.86229790390337,0.082210501565578,0.439187577010413,-4.31917723420979
"33","1416022_at","Fabp5","16592","fatty acid binding protein 5, epidermal",-0.49006583875194,9.67871836553393,-1.11393592357248,0.282789818723561,0.647907658680508,-5.24788948498649
"34","1416028_a_at","Jpt1","15374","Jupiter microtubule associated homolog 1",-0.034861736369014,5.41176056535274,-0.165650324950753,0.870637960999542,0.949073597819287,-5.81425913976394
"35","1416029_at","Klf10","21847","Kruppel-like factor 10",-0.145258132693546,6.64032453917434,-0.468594131393578,0.646078367522745,0.85242534806146,-5.72133874183012
"36","1416030_a_at","Mcm7","17220","minichromosome maintenance complex component 7",0.299976960900241,6.46016698216492,2.18296380270223,0.0452966117199375,0.376902969104275,-3.83335411489527
"37","1416038_at","Snd1","56463","staphylococcal nuclease and tudor domain containing 1",0.210118997852646,8.91498623768126,1.35379237702237,0.195794852552336,0.576957931544084,-4.9880902618336
"38","1416041_at","Sgk1","20393","serum/glucocorticoid regulated kinase 1",0.108708329291565,7.01675274580753,0.450853105873116,0.658526330344756,0.860192704965784,-5.72917783276215
"39","1416046_a_at","Fuca2","66848","fucosidase, alpha-L- 2, plasma",-0.206240675419767,5.78338549056386,-1.14984064054865,0.268162940972561,0.638891679952708,-5.21160792862088
"40","1416059_at","Sec23b","27054","SEC23 homolog B, COPII coat complex component",0.103803026232722,9.86451492076306,0.620231327821643,0.544388076377514,0.801818440076783,-5.64250149211895
"41","1416062_at","Tbc1d15","66687","TBC1 domain family, member 15",-0.247223023698896,5.36311530630164,-0.873606537472266,0.396065376289717,0.718968584940854,-5.46517941630785
"42","1416066_at","Cd9","12527","CD9 antigen",0.0649341908474153,8.65592523985381,0.29293000989071,0.773577868851563,0.91279373201992,-5.78589662427545
"43","1416072_at","Cd34","12490","CD34 antigen",0.459181315664587,3.72725554547899,3.27728355280401,0.00507451691537735,0.238586666795914,-1.97813071656788
"44","1416077_at","Adm","11535","adrenomedullin",0.167209201562011,3.7876363980848,1.08600361497283,0.294575048748965,0.654752294050514,-5.27545047025593
"45","1416081_at","Smad1","17125","SMAD family member 1",0.0473951986957806,6.0368044464712,0.195994296506509,0.847237786426055,0.941404991062303,-5.80891762573188
"46","1416085_s_at","Zfand5","22682","zinc finger, AN1-type domain 5",0.113547184528692,9.63285560342094,0.543231011209672,0.594929890084775,0.827651517364823,-5.68516427181004
"47","1416102_at","Ywhaz","22631","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",-0.171750239307501,8.29812166636749,-1.07975481846408,0.297260569492708,0.654752294050514,-5.28153570599215
"48","1416108_a_at","Tmed3","66111","transmembrane p24 trafficking protein 3",-0.0298376500053585,8.84040725654668,-0.162330963163656,0.873205750949973,0.949218593600746,-5.81478929390833
"49","1416113_at","Fkbp8","14232","FK506 binding protein 8",0.341796447900611,9.38978200211377,1.80252055240444,0.0915325100745743,0.448480882493237,-4.40492930902686
"50","1416114_at","Sparcl1","13602","SPARC-like 1",0.652431590457986,3.98444653225196,1.62603082586332,0.12470522000093,0.498519136719584,-4.64778907280146
"51","1416122_at","Ccnd2","12444","cyclin D2",0.250700037728878,5.71278713470211,1.61190439945004,0.127761675207867,0.504129608246713,-4.66651724738703
"52","1416125_at","Fkbp5","14229","FK506 binding protein 5",-0.210573395793651,7.43641204536769,-0.743446185255643,0.468665314949865,0.758573560166097,-5.56320655343863
"53","1416127_a_at","Dnpep","13437","aspartyl aminopeptidase",0.22535781503055,8.80351225397058,1.5053407018002,0.152944110405738,0.536139006395012,-4.80414871625709
"54","1416131_s_at","Efr3a","76740","EFR3 homolog A",-0.373441075359256,8.96275344401869,-2.54503823434459,0.0223811818208431,0.305237270091466,-3.24366439133243
"55","1416136_at","Mmp2","17390","matrix metallopeptidase 2",0.604960897155082,4.17660687293457,3.62762624345701,0.0024710030599257,0.222738402604212,-1.36150432594778
"56","1416144_a_at","Dhx15","13204","DEAH (Asp-Glu-Ala-His) box polypeptide 15",-0.341164170656086,9.43169942775102,-2.53611737892569,0.0227805526958235,0.305237270091466,-3.25859544006301
"57","1416149_at","Olig1","50914","oligodendrocyte transcription factor 1",0.479789563401904,4.85156195464293,1.47757715603862,0.160151566124744,0.54323005229274,-4.83891279399992
"58","1416152_a_at","Srsf3","20383","serine/arginine-rich splicing factor 3",-0.298415716311747,7.34315269317081,-1.6791976740178,0.113759081359509,0.48315435726243,-4.57632970510097
"59","1416160_at","Nr2f2","11819","nuclear receptor subfamily 2, group F, member 2",-0.112953810712092,5.18270568569771,-0.475681756797709,0.641135452141665,0.848929605038028,-5.71812504997953
"60","1416164_at","Fbln5","23876","fibulin 5",0.229997482780397,5.22276518629508,1.2161642163655,0.242662945822332,0.614970505575965,-5.14211513454783
"61","1416166_a_at","Prdx4","53381","peroxiredoxin 4",-0.663965642851684,8.99872778397051,-3.1860863434521,0.00611817610808711,0.240009977247784,-2.13840763261608
"62","1416178_a_at","Plekhb1","27276","pleckstrin homology domain containing, family B (evectins) member 1",0.322900659267683,9.48608463858324,2.09990399820271,0.0530145373346996,0.392086058950428,-3.96300141377114
"63","1416180_a_at","Rdx","19684","radixin",-0.0215831063811311,8.45428003657145,-0.0603711162926455,0.952654855570355,0.982873580159819,-5.82585614997967
"64","1416187_s_at","Pnrc2","52830","proline-rich nuclear receptor coactivator 2",-0.439322261664863,8.29953950105701,-2.35628727283487,0.0324362312360728,0.333810470767024,-3.55557125021931
"65","1416188_at","Gm2a","14667","GM2 ganglioside activator protein",-0.0242287382303257,7.94903564680833,-0.132074400551083,0.896675877073044,0.959204273996331,-5.81912859872861
"66","1416194_at","Cyp4b1","13120","cytochrome P450, family 4, subfamily b, polypeptide 1",0.187038478874596,6.25047233287409,0.894255582835777,0.385270302275538,0.71254406937381,-5.44832240970566
"67","1416201_at","Crk","12928","v-crk avian sarcoma virus CT10 oncogene homolog",-0.0808491839231689,7.72822228360182,-0.369326414863495,0.71703170039027,0.887346688348667,-5.76140760977091
"68","1416203_at","Aqp1","11826","aquaporin 1",0.384980102989413,8.31342557222865,1.97095743829265,0.0674157666063195,0.413284407377457,-4.15918308628653
"69","1416204_at","Gpd1","14555","glycerol-3-phosphate dehydrogenase 1 (soluble)",0.0498011280520174,6.84859259644201,0.314704224773456,0.757309238311356,0.906548375420932,-5.7794839659876
"70","1416205_at","Glb1","12091","galactosidase, beta 1",0.268196246922279,5.50369138022003,1.31811792593183,0.2071847460019,0.584188534686182,-5.02924873241126
"71","1416222_at","Nsdhl","18194","NAD(P) dependent steroid dehydrogenase-like",0.172250169806471,10.3103126390434,1.02746525976202,0.320440867627136,0.669469062540863,-5.33128747573846
"72","1416229_at","Rfk","54391","riboflavin kinase",0.104882301716489,7.09209312635672,0.635814383035713,0.534451990930552,0.796171092911622,-5.633216337263
